hg19_KSHV	gtffile	file-FXJkbVQ0xx3xB0BB9bGQQYG2
hg19_KSHV	annotategenes	file-FbFK4Z00xx3vYV1b2FF00006
hg19_KSHV	rrnalist	file-FXJkqQ00xx3zv0GjF2GjYPf0
hg19_KSHV	rsemindex	file-FXJp5kj0y3jJyQ6PFG8VbVpz
hg19_KSHV	refflat	file-FXJkbg00xx3bPbj5F2fQY0j4
hg19_KSHV	100_2.6.0a	file-FXKJ9f80xx3bV3V3KqfVq3v9
hg19_KSHV	125_2.6.0a	file-FXKJGJ00xx3fFXK09b8VXzXX
hg19_KSHV	150_2.6.0a	file-FXKJP600xx3qqjzQ8vqK0vzV
hg19_KSHV	50_2.6.0a	file-FXKJ4Jj0xx3y0bqJBFQqkGxJ
hg19_KSHV	75_2.6.0a	file-FXKJ6zQ0xx3X3bF58Yv2KJqJ
hg19_KSHV	100_2.7.0f	file-FbBz2JQ0vyfQzyJx4FQKvF71
hg19_KSHV	125_2.7.0f	file-FbBz3FQ0vyfpyZQ08FyzY2jb
hg19_KSHV	150_2.7.0f	file-FbBz4980vyfqZb6x9z5Y8x6J
hg19_KSHV	50_2.7.0f	file-FbBz0Z80vyffYKvj8G3vKZFQ
hg19_KSHV	75_2.7.0f	file-FbBz1Q00vyfV4Bf4B087Pq3f
hg19	gtffile	file-FPpqzbj0xx3kjkvXK3v4KP18
hg19	annotategenes	file-FbFK50Q0xx3v2BZ6F0gBy10B
hg19	rrnalist	file-FQ843FQ0xx3q0857PBXqJfJF
hg19	rsemindex	file-FQ82Q1803Z5bgvy37bK9VQ11
hg19	refflat	file-FQ8436j0xx3Qb8y72q5XGXB9
hg19	100_2.6.0a	file-FQ5F2kj0xx3Vq35p9kYGkX2x
hg19	125_2.6.0a	file-FQ5FB5j0xx3xFZg77fG3Zffb
hg19	150_2.6.0a	file-FQ5G6f00xx3qj0PYGbvkXK1f
hg19	50_2.6.0a	file-FQ5FjJQ0xx3XF6k6J3b86P4X
hg19	75_2.6.0a	file-FQ5G72Q0xx3Xgg7xGxy27GQb
